Station ID,Functional Class,Lat/Long,Year,AADT,Statistics type,Single-Unit Truck AADT,Combo-Unit Truck AADT,% Peak SU Trucks,% Peak CU Trucks,K-Factor,D-Factor,Future AADT,Station Type
"121-r684",7U : Urban Local,"34.019393, -84.326277",2019,26600,Actual,,,,,0.0987,1,33500,Short Term
"121-r685",7U : Urban Local,"34.023983, -84.323013",2019,15800,Actual,,,,,0.1042,1,20000,Short Term
"121-r687",7U : Urban Local,"34.042163, -84.309112",2019,8280,Actual,,,,,0.0947,1,10800,Short Term
"121-r688",7U : Urban Local,"34.036164, -84.314266",2019,12200,Actual,,,,,0.0915,1,15400,Short Term
"121-r689",2U : Urban Principal Arterial - Freeways & Expressways,"34.054286, -84.287318",2019,9850,Actual,,,,,0.1504,1,13800,Short Term
"121-r690",7U : Urban Local,"34.053766, -84.289106",2019,13000,Estimated,,,,,0.1141,1,16300,Short Term
"121-r691",7U : Urban Local,"34.070396, -84.271459",2019,12400,Estimated,,,,,0.1246,1,15600,Short Term
"121-r692",2U : Urban Principal Arterial - Freeways & Expressways,"34.067180, -84.273098",2019,15700,Estimated,,,,,0.0943,1,24300,Short Term
"121-r693",7U : Urban Local,"34.090148, -84.260982",2019,7490,Estimated,,,,,0.1775,1,9450,Short Term
"121-r694",7U : Urban Local,"34.085333, -84.263756",2019,20800,Estimated,,,,,0.1018,1,26200,Short Term
"121-r695",2U : Urban Principal Arterial - Freeways & Expressways,"33.947164, -84.357481",2019,3110,Estimated,,,,,0.1963,1,4250,Short Term
"121-r701",7U : Urban Local,"33.636411, -84.492987",2019,4540,Estimated,,,,,0.0844,1,5730,Short Term
"121-r702",1U : Urban Principal Arterial - Interstate,"33.634447, -84.491143",2019,7440,Estimated,,,,,0.0799,1,15800,Short Term
"121-r703",7U : Urban Local,"33.658680, -84.497951",2019,21100,Estimated,,,,,0.0733,1,27800,Short Term
"121-r704",7U : Urban Local,"33.654343, -84.497985",2019,20900,Estimated,,,,,0.068,1,27800,Short Term
"121-r705",7U : Urban Local,"33.691357, -84.501390",2019,4430,Estimated,,,,,0.0946,1,5580,Short Term
"121-r706",1U : Urban Principal Arterial - Interstate,"33.686758, -84.500388",2019,13100,Estimated,,,,,0.0906,1,20000,Short Term
"121-r707",7U : Urban Local,"33.689047, -84.501005",2019,11900,Estimated,,,,,0.0909,1,15000,Short Term
"121-r709",7U : Urban Local,"33.725669, -84.503015",2019,11900,Estimated,,,,,0.0949,1,15500,Short Term
"121-r710",7U : Urban Local,"33.722101, -84.503168",2019,10400,Estimated,,,,,0.1022,1,15800,Short Term
"121-r711",7U : Urban Local,"33.755294, -84.495364",2019,7520,Estimated,,,,,0.0788,1,22200,Short Term
"121-r712",1U : Urban Principal Arterial - Interstate,"33.752872, -84.496214",2019,8230,Estimated,,,,,0.0861,1,13300,Short Term
"121-r713",7U : Urban Local,"33.766502, -84.496022",2019,37900,Estimated,,,,,0.0777,1,47700,Short Term
"121-r714",,"33.757380, -84.494378",2019,3130,Actual,,,,,0.1241,1,3940,Short Term
"121-r715",7U : Urban Local,"33.763597, -84.493377",2019,17800,Estimated,,,,,0.0849,1,30500,Short Term
"121-r716",7U : Urban Local,"33.759999, -84.493263",2019,9730,Estimated,,,,,0.0955,1,12300,Short Term
"121-r717",1U : Urban Principal Arterial - Interstate,"33.789096, -84.491545",2019,9070,Estimated,,,,,0.0899,1,12800,Short Term
"121-r718",7U : Urban Local,"33.786473, -84.494130",2019,14100,Estimated,,,,,0.0762,1,23000,Short Term
"121-r720",7U : Urban Local,"33.799682, -84.488937",2019,5880,Estimated,,,,,0.1061,1,10700,Short Term
"121-r721",7U : Urban Local,"33.910506, -84.427746",2019,13700,Estimated,,,,,0.1092,1,22400,Short Term
"121-r722",7U : Urban Local,"33.906350, -84.432978",2019,5580,Estimated,,,,,0.1184,1,8110,Short Term
"121-r723",7U : Urban Local,"33.916423, -84.405740",2019,3490,Estimated,,,,,0.0979,1,4400,Short Term
"121-r724",7U : Urban Local,"33.916172, -84.409344",2019,6540,Estimated,,,,,0.108,1,8240,Short Term
"121-r725",7U : Urban Local,"33.912494, -84.377045",2019,14300,Estimated,,,,,0.0837,1,18100,Short Term
"121-r726",7U : Urban Local,"33.912586, -84.381167",2019,10700,Estimated,,,,,0.1018,1,13500,Short Term
"121-r728",7U : Urban Local,"33.910422, -84.364107",2019,10500,Estimated,,,,,0.1041,1,13200,Short Term
"121-r729",7U : Urban Local,"33.913600, -84.353930",2019,38400,Estimated,,,,,0.0795,1,59200,Short Term
"121-r735",7U : Urban Local,"33.914707, -84.350564",2019,14300,Estimated,,,,,0.1232,1,18000,Short Term
"121-r737",1U : Urban Principal Arterial - Interstate,"33.653917, -84.366117",2019,7700,Estimated,,,,,0.086,1,12200,Short Term
"121-r738",7U : Urban Local,"33.652309, -84.367986",2019,7520,Estimated,,,,,0.0701,1,9970,Short Term
"121-r739",1U : Urban Principal Arterial - Interstate,"33.621048, -84.464845",2019,22600,Estimated,,,,,0.0883,1,45300,Short Term
"121-r740",7U : Urban Local,"33.620870, -84.466800",2019,3010,Estimated,,,,,0.1358,1,4200,Short Term
"121-r741",7U : Urban Local,"33.625216, -84.488845",2019,15700,Estimated,,,,,0.0865,1,22400,Short Term
"121-r742",7U : Urban Local,"33.614255, -84.485272",2019,25800,Estimated,,,,,0.0601,1,35600,Short Term
"121-r743",1U : Urban Principal Arterial - Interstate,"33.614677, -84.487177",2019,30100,Estimated,,,,,0.1087,1,46300,Short Term
"121-r744",,"33.622890, -84.488431",2019,7240,Actual,,,,,0.079,1,9120,Short Term
"121-r745",7U : Urban Local,"33.547575, -84.574797",2019,25300,Actual,,,,,0.0838,1,33600,Short Term
"121-r746",1U : Urban Principal Arterial - Interstate,"33.546180, -84.579266",2019,4530,Actual,,,,,0.098,1,7650,Short Term
"121-r747",7U : Urban Local,"33.570311, -84.531075",2019,19500,Actual,,,,,0.0704,1,27800,Short Term
"121-r748",7U : Urban Local,"33.565885, -84.535791",2019,6350,Actual,,,,,0.0762,1,8010,Short Term
